x,y,z
-1843.91720558,882.849947992,-87.6687190962
215.767844579,-841.884245681,-890.851071369
524.58501059,-1030.01870778,135.571549078
269.847723372,230.582093259,2310.47809621
-1978.88569245,598.880726704,-22.302216424
346.955325889,-680.925633958,-639.169492096
418.93445604,-1235.74308456,-732.007259843
2110.50162614,2909.74571465,-576.535818395
-1454.19846679,265.558035345,-118.954852087
1390.40937821,-1099.04484597,621.439784018
